,Ground Truth Image,Expected object,Predicted object,Expected Caption,Generated Caption
0,data/images/n03452741/n03452741_2982.JPEG,piano,pool table, A showroom displaying a red grand piano and a black baby grand piano. ,"The image depicts a green felt-covered pool table with cue balls, eight numbered balls, and a cue stick arranged on it."
1,data/images/n02992529/n02992529_13746.JPEG,cell phone,guitar, A man in glasses is talking on a cell phone while sitting at a table. ,"The image depicts a close-up view of an electric guitar with its body in a sunburst finish, a white pickguard, three distorted pickups, and a fretboard with frets and tuning pegs."
2,data/images/n07753592/n07753592_10233.JPEG,fruits and vegetables,gun, A ripe banana with a brown spot on the end. ,"The image depicts a handgun with a silver metallic finish, having a dark wooden grip and a barrel attached to the frame."
3,data/images/n03584829/n03584829_33459.JPEG,ironing machine,fruits and vegetables, An iron on a table with a compass and ink. ,"This image depicts a colorful assortment of fresh fruits and vegetables, including apples, bananas, oranges, broccoli, carrots, and bell peppers."
4,data/images/n02906734/n02906734_17920.JPEG,brush,monkey, A woman holding a broom and standing in front of a display of brooms. ,"The image depicts a playful monkey sitting on a tree branch, with its tail wrapped around the branch and its eyes looking directly at the viewer."
5,data/images/n03063599/n03063599_5287.JPEG,coffee mug,monkey, A white coffee mug with a brown starbucks logo on it. ,The image depicts a playful monkey swinging from a tree branch.
6,data/images/n02992529/n02992529_46.JPEG,cell phone,monkey, A black cell phone with a keypad and a screen. ,"The image depicts a playful monkey sitting on a tree branch, with its tail wrapped around the branch."
7,data/images/n03180011/n03180011_5834.JPEG,computer,bicycle," A desktop computer with a monitor, keyboard, and mouse on a white background. ","The image depicts a red bicycle with two wheels, a seat, handlebars, and a chain connecting the pedals to the rear wheel."
8,data/images/n03888257/n03888257_54295.JPEG,parachutes,monkey," Two parachutists flying high in the sky, each holding a Canadian flag, against a backdrop of a clear blue sky. ","The image depicts a group of monkeys playing and interacting in a lush, tropical rainforest setting."
9,data/images/n03792782/n03792782_12815.JPEG,bicycle,mushroom," A group of bicyclists in a line, preparing for a race. ",This image depicts a cluster of brown and white mushrooms growing on a decaying log in a forest setting.
10,data/images/n03709823/n03709823_7681.JPEG,handbag,flower, A black leather handbag with a cartoon character on it. ,"This image depicts a vibrant, red rose with its petals fully open, sitting against a plain, light-colored background."
11,data/images/n03877472/n03877472_23771.JPEG,girl,fruits and vegetables," Three women in pajamas sitting on a couch, smiling and posing for the camera. ","This image depicts a colorful assortment of fresh fruits and vegetables, including apples, bananas, oranges, broccoli, carrots, and bell peppers."
12,data/images/n03775071/n03775071_3297.JPEG,gloves,watch or watches," A pair of handmade, knitted gloves with a mix of brown, orange, and black yarn. ",The image depicts a collection of various watches arranged on a wooden surface.
13,data/images/n03775071/n03775071_6122.JPEG,gloves,piano, A person wearing a coat and holding their hands together in front of them. ,The image depicts a black grand piano with a music sheet and a pair of white piano keys visible.
14,data/images/n03773504/n03773504_17692.JPEG,rocket,pumpkin," The image shows a missile with the word ""USA"" on it, standing in front of an American flag. ","The image depicts a round, orange vegetable with a flat base and a stem on top, commonly known as a pumpkin."
15,data/images/n02607072/n02607072_304.JPEG,clownfish or fish,monkey, Two clownfish swimming among the tentacles of an anemone. ,"The image depicts a playful monkey sitting on a tree branch, with its tail wrapped around the branch and one hand holding onto another branch."
